MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.15,0.92,1.0,2,24,70,1000,1.0
0.15,0.97,1.0,2,24,80,1000,1.0
0.15,0.96,1.0,2,24,90,1000,1.0
0.15,0.99,1.0,2,24,100,1000,1.0
0.04,0.1,0.09,2,36,1,1000,0.0
0.16,0.47,0.86,2,36,10,1000,0.04
0.21,0.72,1.0,2,36,20,1000,0.62
0.21,0.81,1.0,2,36,30,1000,0.91
0.21,0.96,1.0,2,36,40,1000,0.99
0.21,1.0,1.0,2,36,50,1000,1.0
0.21,1.0,1.0,2,36,60,1000,1.0
0.21,1.0,1.0,2,36,70,1000,1.0
0.21,1.0,1.0,2,36,80,1000,1.0
0.21,1.0,1.0,2,36,90,1000,1.0
0.21,1.0,1.0,2,36,100,1000,1.0
0.19,0.04,0.06,3,12,1,1000,0.0
0.47,0.06,0.97,3,12,10,1000,0.26
0.56,0.07,1.0,3,12,20,1000,0.97
0.57,0.11,1.0,3,12,30,1000,1.0
0.57,0.21,1.0,3,12,40,1000,1.0
0.57,0.23,1.0,3,12,50,1000,1.0
0.57,0.28,1.0,3,12,60,1000,1.0
0.57,0.22,1.0,3,12,70,1000,1.0
0.57,0.34,1.0,3,12,80,1000,1.0
0.57,0.48,1.0,3,12,90,1000,1.0
0.57,0.65,1.0,3,12,100,1000,1.0
0.09,0.1,0.05,3,24,1,1000,0.0
0.17,0.12,0.96,3,24,10,1000,0.24
0.19,0.24,1.0,3,24,20,1000,0.96
0.2,0.36,1.0,3,24,30,1000,1.0
0.2,0.32,1.0,3,24,40,1000,1.0
0.2,0.41,1.0,3,24,50,1000,1.0
0.2,0.45,1.0,3,24,60,1000,1.0
0.2,0.42,1.0,3,24,70,1000,1.0
0.2,0.4,1.0,3,24,80,1000,1.0
0.2,0.57,1.0,3,24,90,1000,1.0
0.2,0.47,1.0,3,24,100,1000,1.0
0.03,0.06,0.01,3,36,1,1000,0.0
