Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers,const,control_barcodes,Metadata_gene_name
STAT3-2,0.08795099584447086,0.09829017098290171,0.10801117690428759,False,False,0.9665313017658207,HCC44,p>=0.05,1.0,cutting_control,STAT3
SUZ12-1,0.30974580022791626,0.0015998400159984002,0.004102153887175385,True,True,2.386988051647437,HCC44,p<0.05,1.0,cutting_control,SUZ12
SUZ12-2,0.6833595352016405,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,SUZ12
TXN-1,0.10228022637832042,0.07389261073892611,0.08693248322226602,False,False,1.0608179145963297,HCC44,p>=0.05,1.0,cutting_control,TXN
TXN-2,0.08580448848660527,0.10278972102789721,0.1117279576390187,False,False,0.951838139963161,HCC44,p>=0.05,1.0,cutting_control,TXN
XBP-1,0.10286052783776878,0.07379262073792621,0.08693248322226602,False,False,1.0608179145963297,HCC44,p>=0.05,1.0,cutting_control,XBP
XBP-2,0.16085262674553844,0.0327967203279672,0.04728098618709558,True,True,1.3253134735154006,HCC44,p<0.05,1.0,cutting_control,XBP
YAP1-1,0.0915882740462875,0.09159084091590841,0.10408050104080502,False,False,0.9826306257591809,HCC44,p>=0.05,1.0,cutting_control,YAP1
YAP1-2,0.0654354687066059,0.16548345165483452,0.1706014965513758,False,False,0.7680171634313699,HCC44,p>=0.05,1.0,cutting_control,YAP1
AKT1-1,0.060463811884372276,0.24397560243975602,0.27412989038174834,False,False,0.562043607583046,A549,p>=0.05,,perturbation_control,AKT1
AKT1-2,0.06858761521119322,0.1964803519648035,0.23390518091048038,False,False,0.6309601586272988,A549,p>=0.05,,perturbation_control,AKT1
ARID1B-1,0.09709624178397863,0.1060893910608939,0.15375274066796218,False,False,0.8131771341127774,A549,p>=0.05,,perturbation_control,ARID1B
ARID1B-2,0.13184398275816003,0.060493950604939506,0.11202583445359167,False,False,0.9506818124473624,A549,p>=0.05,,perturbation_control,ARID1B
ATF4-1,0.5764792905466279,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ATF4
ATF4-2,0.8476190476190477,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ATF4
ATP50-1,0.17700019047229618,0.03899610038996101,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,ATP50
ATP50-2,0.2768382018064114,0.006799320067993201,0.01999800019998,True,True,1.6990134316128815,A549,p<0.05,,perturbation_control,ATP50
AURKB-2,0.04532439035829705,0.4016598340165983,0.4183956604339566,False,False,0.37841282858475966,A549,p>=0.05,,perturbation_control,AURKB
BCL2-1,0.05858222480489614,0.25837416258374163,0.28708240287082404,False,False,0.541993427393141,A549,p>=0.05,,perturbation_control,BCL2
BCL2-2,0.11608637189698373,0.0806919308069193,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,BCL2
BCL2L2-1,0.04148241615209271,0.46635336466353366,0.4710640047106401,False,False,0.32692008012345486,A549,p>=0.05,,perturbation_control,BCL2L2
BCL2L2-2,0.044834656761260326,0.40785921407859216,0.42047341657586823,False,False,0.3762614562260129,A549,p>=0.05,,perturbation_control,BCL2L2
BCL2L2-4,0.09162940279760295,0.11788821117888211,0.161490700245044,False,False,0.7918524823022294,A549,p>=0.05,,perturbation_control,BCL2L2
BRAF-2,0.07625695568917105,0.16148385161483853,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,BRAF
BRAF1-1,0.07675911656548612,0.15898410158984103,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,BRAF1
BRCA1-1,0.11267951059077874,0.08399160083991601,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,BRCA1
BRCA1-2,0.17457715145989602,0.0392960703929607,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,BRCA1
BRD4-1,0.06798923498432306,0.19918008199180082,0.23432950822564802,False,False,0.6301730189034754,A549,p>=0.05,,perturbation_control,BRD4
BRD4-2,0.5460690151461373,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,BRD4
CCND1-1,0.39659962833414036,0.0012998700129987,0.00541612505416125,True,True,2.266311316681632,A549,p<0.05,,perturbation_control,CCND1
CCND1-2,0.7721783771783772,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CCND1
CCNE1-1,0.5267837717837718,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CCNE1
CCNE1-2,0.4527481995129054,0.00039996000399960006,0.002105052652629474,True,True,2.6767370369017294,A549,p<0.05,,perturbation_control,CCNE1
CDK2-1,0.17676920418349132,0.03899610038996101,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,CDK2
CDK2-2,0.6282479775126834,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CDK2
CDK4-1,0.3022913174551855,0.0037996200379962005,0.012665400126654002,True,True,1.8973810853797148,A549,p<0.05,,perturbation_control,CDK4
CDK4-2,0.16635221803486464,0.0410958904109589,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,CDK4
CDK4-3,0.3785547320087308,0.0012998700129987,0.00541612505416125,True,True,2.266311316681632,A549,p<0.05,,perturbation_control,CDK4
CHEK2-1,0.11279693203535368,0.08389161083891611,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,CHEK2
CHEK2-2,0.05326417485383949,0.30586941305869414,0.32889184199859584,False,False,0.48294689884611913,A549,p>=0.05,,perturbation_control,CHEK2
COX5B-1,0.04333017506033058,0.43295670432956707,0.44179255543833373,False,False,0.35478160661599206,A549,p>=0.05,,perturbation_control,COX5B
COX5B-2,0.13962277920718255,0.0532946705329467,0.1065893410658934,False,False,0.9722862225863093,A549,p>=0.05,,perturbation_control,COX5B
CSNK1A1-1,0.7732255774938702,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CSNK1A1
CSNK1A1-2,0.31361684986436283,0.0031996800319968005,0.011033379420678623,True,True,1.9572914468559126,A549,p<0.05,,perturbation_control,CSNK1A1
CTNNB1-1,0.2505822634967409,0.012898710128987101,0.0358297503582975,True,True,1.445756217744901,A549,p<0.05,,perturbation_control,CTNNB1
CTNNB1-2,0.06985912863070738,0.18988101189881013,0.23359109872145317,False,False,0.6315437105742312,A549,p>=0.05,,perturbation_control,CTNNB1
DOT1L-1,0.08441546414825755,0.13488651134886512,0.18227906939035826,False,False,0.7392631973359346,A549,p>=0.05,,perturbation_control,DOT1L
DOT1L-2,0.06928826772578349,0.1932806719328067,0.23359109872145317,False,False,0.6315437105742312,A549,p>=0.05,,perturbation_control,DOT1L
EGFR-1,0.11096911860758547,0.08499150084991501,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,EGFR
EGFR-2,0.32960638435722917,0.0025997400259974,0.00928478580713357,True,True,2.032228110648264,A549,p<0.05,,perturbation_control,EGFR
EGLN1-8,0.1297423733154584,0.0633936606339366,0.115261201152612,False,False,0.9383168588893739,A549,p>=0.05,,perturbation_control,EGLN1
EGLN1-9,0.1651510304035878,0.04129587041295871,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,EGLN1
ERBB2-1,0.4610425578189577,0.00039996000399960006,0.002105052652629474,True,True,2.6767370369017294,A549,p<0.05,,perturbation_control,ERBB2
ERBB2-2,0.25128449618813103,0.012698730126987301,0.0358297503582975,True,True,1.445756217744901,A549,p<0.05,,perturbation_control,ERBB2
ERBB3-1,0.12545556176488293,0.0688931106889311,0.12086510647180895,False,False,0.9176990610417283,A549,p>=0.05,,perturbation_control,ERBB3
ERBB3-2,0.09520753438298964,0.11028897110288971,0.15755567300412818,False,False,0.8025659548509289,A549,p>=0.05,,perturbation_control,ERBB3
EZH2-1,0.228364504835647,0.026597340265973404,0.06999300069993,True,False,1.1549453872626059,A549,p<0.05,,perturbation_control,EZH2
EZH2-2,0.14129669993634553,0.0522947705229477,0.1065893410658934,False,False,0.9722862225863093,A549,p>=0.05,,perturbation_control,EZH2
