Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers
PTK2-1,0.665749951268244,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
PTK2-2,0.9433333333333334,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
RAC1-1,0.0999098870664118,0.0776922307769223,0.13963515929108844,False,False,0.855005215211685,A549,p>=0.05
RAC1-2,0.043365704342456284,0.34636536346365365,0.3570776942924265,False,False,0.44723727819779846,A549,p>=0.05
RAF1-1,0.09256794815022734,0.08959104089591041,0.14931840149318404,False,False,0.8258866679983811,A549,p>=0.05
RAF1-2,0.06533185318603008,0.1660833916608339,0.2001004718805228,False,False,0.6987518872015421,A549,p>=0.05
RHOA-1,0.12222992931795595,0.056894310568943104,0.12290437622904377,False,False,0.9104326530103057,A549,p>=0.05
RHOA-2,0.050772780711738595,0.26277372262773724,0.29197080291970806,False,False,0.5346605758284444,A549,p>=0.05
SDHB-1,0.08852568425903422,0.09709029097090291,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
SDHB-2,0.21925552478472368,0.027197280271972803,0.0786032507860325,True,False,1.1045594925198596,A549,p<0.05
SLC2A1-1,0.2095672908366112,0.0282971702829717,0.0786032507860325,True,False,1.1045594925198596,A549,p<0.05
SLC2A2-2,0.13405682934446625,0.0446955304469553,0.1015807510158075,True,False,0.9931885806311136,A549,p<0.05
SMARCB1-1,0.054647679541239336,0.2303769623037696,0.26179200261792,False,False,0.5820436246758569,A549,p>=0.05
SMARCB1-2,0.16773369038985622,0.0316968303169683,0.0834127113604429,True,False,1.0787677616759213,A549,p<0.05
STAT3-1,0.08656307833405258,0.10128987101289871,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
STAT3-2,0.07715999199143693,0.12338766123387661,0.1645168816451688,False,False,0.7837895309713399,A549,p>=0.05
SUZ12-1,0.24876284425900827,0.0091990800919908,0.03172096583445104,True,True,1.4986535978302635,A549,p<0.05
SUZ12-2,0.36597615704982794,0.0005999400059994001,0.0027270000272700003,True,True,2.5643148577154253,A549,p<0.05
TXN-1,0.04677244101520681,0.30346965303469653,0.3194417400365227,False,False,0.495608337154434,A549,p>=0.05
TXN-2,0.049966481354912766,0.2702729727027297,0.29399233989644513,False,False,0.5316639851798297,A549,p>=0.05
XBP-1,0.08363479713923909,0.10678932106789321,0.15255617295413318,False,False,0.8165702145985818,A549,p>=0.05
XBP-2,0.08636209445200672,0.10168983101689831,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
YAP1-1,0.07308205479878445,0.1347865213478652,0.1706158498074243,False,False,0.7679806263680031,A549,p>=0.05
YAP1-2,0.10196780181979999,0.07439256074392561,0.13776400137764,False,False,0.8608642515539525,A549,p>=0.05
AKT1-1,0.07726757618697182,0.12298770122987701,0.14300895491846163,False,False,0.8446367670810325,ES2,p>=0.05
AKT1-2,0.05806161903592256,0.20657934206579343,0.22406361514386194,False,False,0.649628661203311,ES2,p>=0.05
ARID1B-1,0.19387565239694102,0.0292970702929707,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
ARID1B-2,0.03563674095494102,0.4861513848615138,0.4861513848615138,False,False,0.31322847276954574,ES2,p>=0.05
ATF4-1,0.5567180772481511,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
ATF4-2,0.2870391955858081,0.0026997300269973002,0.00674932506749325,True,True,2.1707396544458377,ES2,p<0.05
ATP50-1,0.10222949001141975,0.07389261073892611,0.09473411633195655,False,False,1.0234935915725174,ES2,p>=0.05
ATP50-2,0.10732795169507782,0.06989301069893011,0.09196448776175015,False,False,1.0363798438119727,ES2,p>=0.05
AURKB-2,0.40083914738930754,0.00029997000299970003,0.0009090000090900001,True,True,3.0414361124350875,ES2,p<0.05
BCL2-1,0.04969600381735756,0.2722727727227277,0.28660291865550286,False,False,0.542719391225746,ES2,p>=0.05
BCL2-2,0.07407801729818855,0.1322867713228677,0.15205376014122723,False,False,0.8180028357079803,ES2,p>=0.05
BCL2L2-1,0.08980627189191942,0.09409059094090591,0.1166956475084199,False,False,0.9329453418837358,ES2,p>=0.05
BCL2L2-2,0.15962084039167876,0.032996700329967,0.05386558118381711,True,False,1.268688649963552,ES2,p<0.05
